data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note
2020-07-03T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,27,0,27,129,156,-4,6,2678,464,3104,194,3298,108363,71976,
2020-07-03T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,4,4,2,2,373,27,401,3,404,40333,39553,"NEL TOTALE CASI POSITIVI SONO COMPRESI ULTERIORI N. 2 SOGGETTI RISULTATI POSITIVI PER ATTIVITA' DI SCREENING, ASINTOMATICI ED  IN ISOLAMENTO DOMICILIARE, NON RESIDENTI E PROVENIENTI DA STATO ESTERO.  "
2020-07-03T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,4,0,4,21,25,0,1,1060,97,1159,23,1182,97852,95818,
2020-07-03T17:00:00,ITA,15,Campania,40.83956555,14.25084984,35,0,35,162,197,7,10,4083,432,4682,30,4712,289253,142219,
2020-07-03T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,87,9,96,915,1011,8,27,23284,4267,27990,572,28562,508691,304202,
2020-07-03T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,6,0,6,62,68,6,4,2905,345,3315,3,3318,196975,108444,
2020-07-03T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,188,11,199,627,826,-5,11,6475,840,6008,2133,8141,346239,283710,
2020-07-03T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,40,3,43,240,283,2,3,8146,1558,8723,1264,9987,151324,80887,
2020-07-03T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,241,41,282,9395,9677,-150,115,67871,16675,88834,5389,94223,1064173,636860,
2020-07-03T17:00:00,ITA,11,Marche,43.61675973,13.5188753,6,0,6,221,227,-11,0,5575,987,6789,0,6789,140965,85256,
2020-07-03T17:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,21,21,0,0,401,23,444,1,445,23262,22167,
2020-07-03T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,3,0,3,80,83,-1,0,2267,292,2642,0,2642,85938,42017,
2020-07-03T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,2,0,2,44,46,0,6,4420,405,3380,1491,4871,125206,64218,
2020-07-03T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,235,10,245,1030,1275,-24,16,26019,4100,26872,4522,31394,425052,264608,
2020-07-03T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,21,0,21,88,109,0,3,3879,545,2152,2381,4533,184749,123414,Per 1482 casi non è disponibile la provenienza
2020-07-03T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,6,0,6,8,14,1,1,1222,133,1360,9,1369,86534,72993,
2020-07-03T17:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,16,2,18,117,135,1,1,2674,282,2749,342,3091,217147,176956,
2020-07-03T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,13,3,16,307,323,-1,9,8832,1112,10049,218,10267,347127,234084,
2020-07-03T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,4,0,4,6,10,-1,2,1356,80,1432,14,1446,98488,66783,
2020-07-03T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,3,0,3,1,4,1,1,1046,146,1082,114,1196,18576,13966,
2020-07-03T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,19,0,19,371,390,-7,5,16901,2023,19263,51,19314,992568,417996,
