data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note
2020-07-20T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,13,0,13,108,121,4,6,2753,468,3117,225,3342,119651,79070,
2020-07-20T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,2,0,2,5,7,0,0,373,28,402,6,408,44271,43486,"OLTRE A QUANTO SEGNALATO NEL PERIODO PRECEDENTE, NEL TOTALE CASI POSITIVI SONO COMPRESI: N. 3 CASI RISULTATI POSITIVI PER ATTIVITA' DI SCREENING PROVENIENTI DA STATO ESTERO (BENGALA), NON RESIDENTI IN BASILICATA ED ALLOGGIATI IN ISOLAMENTO PRESSO STRUTTURA DI ACCOGLIENZA DI POTENZA.  "
2020-07-20T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,3,0,3,68,71,-1,0,1071,97,1159,80,1239,110657,108623,
2020-07-20T17:00:00,ITA,15,Campania,40.83956555,14.25084984,32,0,32,264,296,2,6,4104,433,4769,64,4833,312536,157038,
2020-07-20T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,91,6,97,1201,1298,32,42,23645,4277,28190,1030,29220,578586,346535,
2020-07-20T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,7,0,7,92,99,3,4,2912,345,3346,10,3356,227019,118033,
2020-07-20T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,175,9,184,701,885,13,14,6714,851,6128,2322,8450,389441,321110,
2020-07-20T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,28,0,28,157,185,-19,12,8355,1565,8467,1638,10105,172251,91898,
2020-07-20T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,151,21,172,6969,7141,-99,56,71611,16796,89367,6181,95548,1206495,724365,
2020-07-20T17:00:00,ITA,11,Marche,43.61675973,13.5188753,2,1,3,143,146,-4,0,5678,987,6811,0,6811,156150,93877,
2020-07-20T17:00:00,ITA,14,Molise,41.55774754,14.65916051,1,0,1,7,8,0,0,415,23,444,2,446,25745,24605,
2020-07-20T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,6,0,6,94,100,-1,0,2292,292,2684,0,2684,96471,48867,
2020-07-20T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,1,0,1,19,20,4,4,4464,405,3387,1502,4889,141389,69051,
2020-07-20T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,150,6,156,677,833,-4,1,26584,4120,25790,5747,31537,468990,288837,
2020-07-20T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,14,0,14,65,79,0,0,3930,548,2054,2503,4557,216402,147702,
2020-07-20T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,7,0,7,5,12,0,0,1233,134,1363,16,1379,98802,83626,
2020-07-20T17:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,10,2,12,145,157,-5,2,2704,283,2753,391,3144,249824,200038,
2020-07-20T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,10,0,10,314,324,-1,1,8921,1130,10148,227,10375,391998,261958,
2020-07-20T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,6,0,6,6,12,0,0,1364,80,1437,19,1456,111968,73653,
2020-07-20T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,1,0,1,0,1,-2,0,1049,146,1079,117,1196,20270,14947,
2020-07-20T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,35,2,37,572,609,42,42,16990,2050,19317,332,19649,1123386,457249,
