data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note
2020-09-18T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,48,5,53,626,679,47,54,2984,474,3603,534,4137,182106,117719,
2020-09-18T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,6,1,7,156,163,-3,0,437,28,415,213,628,65884,65074,
2020-09-18T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,24,4,28,393,421,16,28,1266,98,1159,626,1785,182175,180069,
2020-09-18T17:00:00,ITA,15,Campania,40.83956555,14.25084984,318,20,338,4127,4465,158,208,5020,455,8456,1484,9940,527468,328713,
2020-09-18T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,182,21,203,4166,4369,92,121,25252,4472,30405,3688,34093,1068778,616330,
2020-09-18T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,22,4,26,646,672,16,39,3291,349,4017,295,4312,375150,169788,
2020-09-18T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,459,17,476,4937,5413,130,193,7680,889,7306,6676,13982,764828,637844,
2020-09-18T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,141,16,157,1257,1414,56,158,9329,1586,9217,3112,12329,279460,150104,
2020-09-18T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,284,32,316,8711,9027,93,224,78369,16908,93748,10556,104304,1906689,1184027,
2020-09-18T17:00:00,ITA,11,Marche,43.61675973,13.5188753,22,1,23,583,606,24,29,6084,989,7679,0,7679,230491,135887,
2020-09-18T17:00:00,ITA,14,Molise,41.55774754,14.65916051,3,1,4,96,100,0,3,458,23,542,39,581,38912,37522,
2020-09-18T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,15,2,17,368,385,59,72,2578,292,3255,0,3255,157398,83325,
2020-09-18T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,12,0,12,546,558,-13,18,4704,405,3645,2022,5667,211645,91799,
2020-09-18T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,140,6,146,2116,2262,40,127,27752,4153,23856,10311,34167,659243,401619,
2020-09-18T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,200,12,212,1774,1986,71,84,4273,577,2207,4629,6836,368571,263073,
2020-09-18T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,89,17,106,1461,1567,53,66,1400,141,1750,1358,3108,166723,141571,
2020-09-18T17:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,179,15,194,1963,2157,114,179,3295,296,3859,1889,5748,424799,316122,
2020-09-18T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,95,21,116,2584,2700,50,99,9670,1152,11271,2251,13522,660245,444645,
2020-09-18T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,27,5,32,423,455,-12,21,1623,82,1592,568,2160,184540,111396,
2020-09-18T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,6,0,6,43,49,8,8,1081,146,1146,130,1276,27190,18953,
2020-09-18T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,115,8,123,2886,3009,45,176,20261,2153,20564,4859,25423,1763868,691678,
