data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note
2020-09-25T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,58,5,63,754,817,47,51,3023,477,3709,608,4317,192553,124138,
2020-09-25T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,13,1,14,191,205,9,13,458,28,423,268,691,69677,68857,
2020-09-25T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,32,3,35,473,508,8,10,1300,98,1159,747,1906,193781,191675,
2020-09-25T17:00:00,ITA,15,Campania,40.83956555,14.25084984,382,27,409,4849,5258,101,253,5638,459,9798,1557,11355,566837,362048,
2020-09-25T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,189,18,207,4444,4651,24,122,25701,4481,30776,4057,34833,1131423,647139,
2020-09-25T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,17,6,23,690,713,6,37,3463,350,4192,334,4526,395743,177070,
2020-09-25T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,563,36,599,5892,6491,144,230,8040,904,7739,7696,15435,831786,695956,
2020-09-25T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,145,17,162,1564,1726,72,73,9621,1597,9400,3544,12944,297680,159717,
2020-09-25T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,300,30,330,8841,9171,123,277,79624,16937,94550,11182,105732,2032712,1265754,
2020-09-25T17:00:00,ITA,11,Marche,43.61675973,13.5188753,22,2,24,697,721,21,33,6140,990,7851,0,7851,239573,141222,
2020-09-25T17:00:00,ITA,14,Molise,41.55774754,14.65916051,3,1,4,129,133,0,5,476,23,592,40,632,41333,39893,
2020-09-25T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,20,1,21,493,514,29,52,2632,292,3438,0,3438,169006,88792,
2020-09-25T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,13,0,13,535,548,-1,23,4876,405,3699,2130,5829,222678,95829,
2020-09-25T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,163,9,172,2330,2502,40,120,28138,4159,23289,11510,34799,694932,420303,
2020-09-25T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,208,10,218,2091,2309,46,90,4498,587,2304,5090,7394,392912,279402,Per 873 casi non è disponibile la provenienza
2020-09-25T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,112,19,131,1653,1784,22,57,1596,148,1874,1654,3528,180110,152652,
2020-09-25T17:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,235,13,248,2282,2530,69,107,3630,306,4281,2185,6466,458911,337774,
2020-09-25T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,87,24,111,3150,3261,105,139,9938,1156,11622,2733,14355,709159,477064,
2020-09-25T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,32,3,35,450,485,10,23,1748,85,1641,677,2318,196077,117862,
2020-09-25T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,3,0,3,52,55,-1,1,1087,146,1158,130,1288,28332,19587,
2020-09-25T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,140,19,159,3177,3336,64,196,21089,2173,20994,5604,26598,1849748,721936,
