data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note
2020-08-23T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,31,1,32,300,332,19,21,2844,472,3250,398,3648,147963,95928,
2020-08-23T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,1,0,1,70,71,5,5,403,28,402,100,502,52822,52032,
2020-08-23T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,11,1,12,154,166,8,8,1135,97,1159,239,1398,144912,142878,
2020-08-23T17:00:00,ITA,15,Campania,40.83956555,14.25084984,61,2,63,862,925,133,138,4356,441,5574,148,5722,383487,208401,
2020-08-23T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,77,8,85,1949,2034,109,127,24425,4456,28880,2035,30915,827082,488330,
2020-08-23T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,10,2,12,279,291,19,24,3001,348,3552,88,3640,305157,144651,
2020-08-23T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,286,6,292,1735,2027,157,184,7046,874,6468,3479,9947,496648,404727,
2020-08-23T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,18,1,19,379,398,23,28,8676,1571,8670,1975,10645,223155,119961,
2020-08-23T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,148,14,162,5620,5782,206,239,75678,16856,90944,7372,98316,1483556,890586,
2020-08-23T17:00:00,ITA,11,Marche,43.61675973,13.5188753,12,1,13,232,245,3,5,5878,987,7110,0,7110,193716,115806,
2020-08-23T17:00:00,ITA,14,Molise,41.55774754,14.65916051,1,0,1,57,58,1,1,430,23,500,11,511,31245,30064,
2020-08-23T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,8,1,9,148,157,11,13,2420,292,2869,0,2869,129908,68769,
2020-08-23T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,3,1,4,39,43,3,3,4580,405,3408,1620,5028,178747,80296,
2020-08-23T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,78,5,83,978,1061,30,42,27139,4143,24571,7772,32343,558919,341447,
2020-08-23T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,68,4,72,395,467,31,33,4003,555,1902,3123,5025,283415,198019,
2020-08-23T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,18,0,18,320,338,81,81,1262,134,1515,219,1734,124137,104930,
2020-08-23T17:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,50,10,60,843,903,29,35,2813,286,3060,942,4002,326347,250646,
2020-08-23T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,35,7,42,938,980,52,59,9056,1139,10537,638,11175,496708,326623,
2020-08-23T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,11,1,12,148,160,18,19,1399,80,1499,140,1639,141947,88882,
2020-08-23T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,1,0,1,10,11,0,0,1064,146,1103,118,1221,24082,17117,
2020-08-23T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,43,4,47,1942,1989,-3,145,17862,2104,19837,2118,21955,1453684,569875,
