data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note
2020-07-18T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,15,0,15,102,117,-2,1,2750,468,3113,222,3335,118745,78469,
2020-07-18T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,3,0,3,2,5,0,0,373,27,402,3,405,44020,43235,"NEL TOTALE CASI POSITIVI SONO COMPRESI: N. 2 CASI RISULTATI POSITIVI PER ATTIVITA' DI SCREENING PROVENIENTI DA STATO ESTERO (MOLDAVIA) E NON RESIDENTI IN BASILICATA, N. 1 NUOVO CASO POSITIVO DI SOGGETTO RESIDENTE IN BASILICATA MA PROVENIENTE DA STATO ESTERO OVE HA LAVORATO (KAZAKISTAN).  "
2020-07-18T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,5,0,5,70,75,6,7,1066,97,1159,79,1238,109655,107621,
2020-07-18T17:00:00,ITA,15,Campania,40.83956555,14.25084984,44,1,45,242,287,15,15,4098,433,4754,64,4818,310851,155873,
2020-07-18T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,85,8,93,1141,1234,6,40,23619,4274,28166,961,29127,573554,342592,
2020-07-18T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,7,0,7,92,99,3,4,2906,345,3343,7,3350,224856,117057,
2020-07-18T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,174,9,183,683,866,14,20,6703,850,6115,2304,8419,384054,316173,
2020-07-18T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,28,0,28,172,200,14,18,8305,1565,8462,1608,10070,170650,90954,
2020-07-18T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,149,22,171,7084,7255,-166,88,71416,16788,89332,6127,95459,1195168,717516,
2020-07-18T17:00:00,ITA,11,Marche,43.61675973,13.5188753,2,1,3,152,155,0,3,5670,987,6812,0,6812,154887,93195,
2020-07-18T17:00:00,ITA,14,Molise,41.55774754,14.65916051,1,0,1,7,8,0,0,415,23,444,2,446,25586,24446,
2020-07-18T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,6,0,6,95,101,0,1,2290,292,2683,0,2683,95499,48340,
2020-07-18T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,0,0,0,19,19,3,3,4460,405,3384,1500,4884,140283,68722,
2020-07-18T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,150,6,156,691,847,-9,3,26567,4119,25844,5689,31533,465526,287012,
2020-07-18T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,14,0,14,58,72,2,3,3930,548,2054,2496,4550,213873,145802,per 1315 casi non e' disponibile la provenienza
2020-07-18T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,7,0,7,4,11,1,1,1233,134,1363,15,1378,97807,82738,
2020-07-18T17:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,14,0,14,148,162,4,4,2695,283,2753,387,3140,247379,198568,
2020-07-18T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,12,1,13,301,314,-4,2,8915,1129,10132,226,10358,387885,259442,
2020-07-18T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,6,0,6,8,14,2,2,1362,80,1437,19,1456,111045,73180,
2020-07-18T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,2,0,2,0,2,0,0,1048,146,1079,117,1196,20104,14826,
2020-07-18T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,33,2,35,490,525,23,34,16985,2049,19307,252,19559,1111097,454065,
