data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note
2020-10-23T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,228,16,244,3285,3529,153,234,3293,503,5743,1582,7325,259623,162471,
2020-10-23T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,54,4,58,849,907,79,89,621,42,459,1111,1570,94027,93187,
2020-10-23T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,100,9,109,1586,1695,158,159,1645,105,1159,2286,3445,251288,249135,
2020-10-23T17:00:00,ITA,15,Campania,40.83956555,14.25084984,1090,98,1188,23447,24635,2074,2280,9107,563,32025,2280,34305,830767,571147,
2020-10-23T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,657,86,743,11771,12514,851,888,27304,4547,35818,8547,44365,1449195,790989,
2020-10-23T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,88,19,107,2370,2477,252,340,4569,369,6792,623,7415,497736,216003,
2020-10-23T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1354,135,1489,18332,19821,1290,1389,10108,1081,12311,18699,31010,1249561,1021323,
2020-10-23T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,598,33,631,4838,5469,403,778,14210,1680,15062,6297,21359,399461,209220,
2020-10-23T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,2013,184,2197,35753,37950,4432,4916,88536,17159,119459,24186,143645,2647681,1655276,
2020-10-23T17:00:00,ITA,11,Marche,43.61675973,13.5188753,152,22,174,2875,3049,425,453,6596,1000,10645,0,10645,297179,173274,
2020-10-23T17:00:00,ITA,14,Molise,41.55774754,14.65916051,13,1,14,480,494,44,56,606,26,1078,48,1126,58164,54552,
2020-10-23T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,106,8,114,2468,2582,264,269,2940,296,5818,0,5818,213835,110930,
2020-10-23T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,65,3,68,1061,1129,160,207,5974,423,4280,3246,7526,271097,110387,
2020-10-23T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,1362,84,1446,15016,16462,1682,2032,31002,4236,27151,24549,51700,919629,547164,
2020-10-23T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,479,52,531,6297,6828,549,590,5926,646,3724,9676,13400,513235,364270,
2020-10-23T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,275,36,311,3975,4286,293,349,2768,181,2902,4333,7235,242374,205575,
2020-10-23T17:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,593,89,682,8454,9136,596,730,5772,408,9894,5422,15316,630011,447704,
2020-10-23T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,574,82,656,13718,14374,1113,1290,12290,1237,21997,5904,27901,973655,653719,Sono stati effettuati 1726 tamponi antigenici rapidi di cui 978 odierni
2020-10-23T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,183,21,204,3426,3630,360,447,2577,100,2287,4020,6307,269993,158186,
2020-10-23T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,50,3,53,948,1001,96,97,1166,149,2076,240,2316,37111,23862,
2020-10-23T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,515,64,579,13455,14034,1426,1550,24798,2308,23734,17406,41140,2208831,860733,
