data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note
2020-06-18T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,58,2,60,374,434,-4,2,2389,458,,,3281,95546,64327,dc-IT-0054
2020-06-18T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,1,1,9,10,0,0,364,27,,,401,36382,35592,
2020-06-18T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,18,0,18,17,35,2,3,1033,97,,,1165,85222,83171,
2020-06-18T17:00:00,ITA,15,Campania,40.83956555,14.25084984,52,6,58,184,242,-16,1,3942,431,,,4615,259655,124683,
2020-06-18T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,159,11,170,1111,1281,-64,32,22643,4219,,,28143,435351,256490,
2020-06-18T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,15,1,16,81,97,-2,2,2861,343,,,3301,167485,97662,
2020-06-18T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,261,38,299,698,997,-42,9,6167,822,,,7986,309169,251673,
2020-06-18T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,70,2,72,174,246,2,7,8121,1536,,,9903,132375,71497,
2020-06-18T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,1673,60,1733,12914,14647,-325,216,61355,16516,,,92518,929356,554148,
2020-06-18T17:00:00,ITA,11,Marche,43.61675973,13.5188753,19,0,19,558,577,-8,4,5197,994,,,6768,125339,75604,
2020-06-18T17:00:00,ITA,14,Molise,41.55774754,14.65916051,1,0,1,59,60,-2,0,357,23,,,440,19984,19006,
2020-06-18T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,8,2,10,75,85,-2,2,2236,292,,,2613,77954,37563,
2020-06-18T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,2,0,2,57,59,1,8,3933,465,,,4457,107366,56609,
2020-06-18T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,397,25,422,1868,2290,-95,31,24840,4032,,,31162,380395,241279,
2020-06-18T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,34,1,35,271,306,-18,3,3675,538,,,4519,156582,103148,
2020-06-18T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,10,0,10,21,31,0,1,1204,132,,,1367,72722,61674,
2020-06-18T17:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,24,3,27,610,637,-168,2,2547,280,,,3464,186253,155903,
2020-06-18T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,23,13,36,402,438,-6,2,8664,1093,,,10195,303786,213644,
2020-06-18T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,5,2,7,9,16,-2,0,1344,77,,,1437,85586,59912,
2020-06-18T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,5,0,5,1,6,-2,0,1040,145,,,1191,17057,13097,
2020-06-18T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,33,1,34,573,607,-73,8,16632,1994,,,19233,847997,382042,
