data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note
2020-06-19T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,53,1,54,353,407,-27,1,2414,459,,,3280,96581,64987,dc-IT-0056
2020-06-19T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,1,1,7,8,-2,0,366,27,,,401,36705,35915,
2020-06-19T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,18,0,18,16,34,-1,0,1034,97,,,1165,86273,84222,
2020-06-19T17:00:00,ITA,15,Campania,40.83956555,14.25084984,47,3,50,75,125,-117,0,4059,431,,,4615,261642,125525,
2020-06-19T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,145,11,156,1063,1219,-62,27,22727,4224,,,28170,443301,261017,
2020-06-19T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,16,0,16,69,85,-12,2,2875,343,,,3303,170109,98912,
2020-06-19T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,247,38,285,703,988,-9,9,6181,826,,,7995,312708,254525,
2020-06-19T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,66,3,69,180,249,3,7,8121,1540,,,9910,133898,72175,
2020-06-19T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,1537,60,1597,12448,14045,-602,157,62096,16534,,,92675,939820,560376,
2020-06-19T17:00:00,ITA,11,Marche,43.61675973,13.5188753,14,0,14,546,560,-17,0,5214,994,,,6768,126380,76228,
2020-06-19T17:00:00,ITA,14,Molise,41.55774754,14.65916051,2,0,2,51,53,-7,1,365,23,,,441,20203,19208,
2020-06-19T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,3,1,4,71,75,-10,2,2248,292,,,2615,78580,37858,
2020-06-19T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,2,0,2,54,56,-3,1,3936,466,,,4458,108564,57050,
2020-06-19T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,363,22,385,1793,2178,-112,26,24971,4039,,,31188,384705,243025,
2020-06-19T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,31,1,32,223,255,-51,1,3727,538,,,4520,158828,104225,
2020-06-19T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,10,0,10,20,30,-1,1,1206,132,,,1368,73846,62546,
2020-06-19T17:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,21,5,26,124,150,-487,3,2640,280,,,3070,187869,156719,dc-EN-0058
2020-06-19T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,18,12,30,393,423,-15,10,8687,1095,,,10205,306489,214853,
2020-06-19T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,5,2,7,10,17,1,1,1344,77,,,1438,86693,60357,
2020-06-19T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,4,0,4,0,4,-2,0,1041,146,,,1191,17183,13182,
2020-06-19T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,30,1,31,551,582,-25,2,16655,1998,,,19235,858726,384389,
