date;region_code;region_name;lat;long;hospitalized_with_symptoms;intensive_care;total_hospitalized;home_isolation;positive_tests;new_positive_tests;discharged;deceased;total_cases;total_tests;;;;;;;;;;;;
26/02/2020;12;Lazio;4.189.277.044;1.248.366.722;0;0;0;0;0;-2;3;0;3;124;;;;;;;;;;;;
26/02/2020;7;Liguria;4.441.149.315;89.326.992;6;0;6;5;11;10;0;0;11;66;;;;;;;;;;;;
26/02/2020;3;Lombardia;4.546.679.409;9.190.347.404;79;25;104;145;249;18;0;9;258;3208;;;;;;;;;;;;
26/02/2020;11;Marche;4.361.675.973;135.188.753;1;0;1;0;1;1;0;0;1;28;;;;;;;;;;;;
26/02/2020;14;Molise;4.155.774.754;1.465.916.051;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
26/02/2020;1;Piemonte;450.732.745;7.680.687.483;2;0;2;1;3;0;0;0;3;156;;;;;;;;;;;;
26/02/2020;16;Puglia;4.112.559.576;1.686.736.689;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
26/02/2020;20;Sardegna;3.921.531.192;9.110.616.306;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;
26/02/2020;19;Sicilia;3.811.569.725;133.623.567;1;0;1;2;3;0;0;0;3;5;;;;;;;;;;;;
26/02/2020;9;Toscana;4.376.923.077;1.125.588.885;2;0;2;0;2;0;0;0;2;363;;;;;;;;;;;;
26/02/2020;4;P.A. Trento;4.606.893.511;1.112.123.097;0;0;0;0;0;0;0;0;0;3;;;;;;;;;;;;
26/02/2020;10;Umbria;4.310.675.841;1.238.824.698;0;0;0;0;0;0;0;0;0;8;;;;;;;;;;;;
26/02/2020;2;Valle d'Aosta;4.573.750.286;7.320.149.366;0;0;0;0;0;0;0;0;0;7;;;;;;;;;;;;
26/02/2020;5;Veneto;4.543.490.485;1.233.845.213;16;8;24;45;69;27;0;2;71;4900;;;;;;;;;;;;
27/02/2020;13;Abruzzo;4.235.122.196;1.339.843.823;1;0;1;0;1;1;0;0;1;33;;;;;;;;;;;;
27/02/2020;17;Basilicata;4.063.947.052;1.580.514.834;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
27/02/2020;4;P.A. Bolzano;4.649.933.453;1.135.662.422;1;0;1;0;1;0;0;0;1;2;;;;;;;;;;;;
27/02/2020;18;Calabria;3.890.597.598;1.659.440.194;0;0;0;0;0;0;0;0;0;14;;;;;;;;;;;;
27/02/2020;15;Campania;4.083.956.555;1.425.084.984;2;0;2;1;3;3;0;0;3;10;;;;;;;;;;;;
27/02/2020;8;Emilia Romagna;4.449.436.681;113.417.208;36;6;42;54;96;50;0;1;97;1033;;;;;;;;;;;;
27/02/2020;6;Friuli Venezia Giulia;456.494.354;1.376.813.649;0;0;0;0;0;0;0;0;0;141;;;;;;;;;;;;
27/02/2020;12;Lazio;4.189.277.044;1.248.366.722;0;0;0;0;0;0;3;0;3;552;;;;;;;;;;;;
27/02/2020;7;Liguria;4.441.149.315;89.326.992;9;0;9;10;19;8;0;0;19;78;;;;;;;;;;;;
27/02/2020;3;Lombardia;4.546.679.409;9.190.347.404;172;41;213;136;349;100;40;14;403;3320;;;;;;;;;;;;
27/02/2020;11;Marche;4.361.675.973;135.188.753;2;1;3;0;3;2;0;0;3;46;;;;;;;;;;;;
27/02/2020;14;Molise;4.155.774.754;1.465.916.051;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
27/02/2020;1;Piemonte;450.732.745;7.680.687.483;2;0;2;0;2;-1;0;0;2;156;;;;;;;;;;;;
27/02/2020;16;Puglia;4.112.559.576;1.686.736.689;1;0;1;0;1;1;0;0;1;0;;;;;;;;;;;;
27/02/2020;20;Sardegna;3.921.531.192;9.110.616.306;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;
27/02/2020;19;Sicilia;3.811.569.725;133.623.567;1;0;1;1;2;-1;2;0;4;5;;;;;;;;;;;;
27/02/2020;9;Toscana;4.376.923.077;1.125.588.885;2;0;2;0;2;0;0;0;2;410;;;;;;;;;;;;
27/02/2020;4;P.A. Trento;4.606.893.511;1.112.123.097;0;0;0;0;0;0;0;0;0;32;;;;;;;;;;;;
27/02/2020;10;Umbria;4.310.675.841;1.238.824.698;0;0;0;0;0;0;0;0;0;8;;;;;;;;;;;;
27/02/2020;2;Valle d'Aosta;4.573.750.286;7.320.149.366;0;0;0;0;0;0;0;0;0;9;;;;;;;;;;;;
27/02/2020;5;Veneto;4.543.490.485;1.233.845.213;19;8;27;82;109;40;0;2;111;6164;;;;;;;;;;;;
