codice_regione,denominazione_regione,Età,Maschi celibi,Maschi coniugati,Maschi divorziati,Maschi vedovi,Maschi uniti civilmente,Maschi già in unione civile (per scioglimento),Maschi già in unione civile (per decesso del partner),Totale Maschi,Femmine nubili,Femmine coniugate,Femmine divorziate,Femmine vedove,Femmine unite civilmente,Femmine già in unione civile (per scioglimento),Femmine già in unione civile (per decesso del partner),Totale Femmine,Popolazione
10,Umbria,1,3118,0,0,0,0,0,0,3118,2960,0,0,0,0,0,0,2960,6078
10,Umbria,2,3302,0,0,0,0,0,0,3302,3145,0,0,0,0,0,0,3145,6447
10,Umbria,3,3350,0,0,0,0,0,0,3350,3196,0,0,0,0,0,0,3196,6546
10,Umbria,4,3555,0,0,0,0,0,0,3555,3401,0,0,0,0,0,0,3401,6956
10,Umbria,5,3742,0,0,0,0,0,0,3742,3515,0,0,0,0,0,0,3515,7257
10,Umbria,6,3804,0,0,0,0,0,0,3804,3784,0,0,0,0,0,0,3784,7588
10,Umbria,7,3910,0,0,0,0,0,0,3910,3770,0,0,0,0,0,0,3770,7680
10,Umbria,8,4058,0,0,0,0,0,0,4058,3792,0,0,0,0,0,0,3792,7850
10,Umbria,9,4070,0,0,0,0,0,0,4070,3786,0,0,0,0,0,0,3786,7856
10,Umbria,10,4196,0,0,0,0,0,0,4196,4038,0,0,0,0,0,0,4038,8234
10,Umbria,11,4250,0,0,0,0,0,0,4250,3962,0,0,0,0,0,0,3962,8212
10,Umbria,12,4189,0,0,0,0,0,0,4189,3904,0,0,0,0,0,0,3904,8093
10,Umbria,13,4168,0,0,0,0,0,0,4168,3880,0,0,0,0,0,0,3880,8048
10,Umbria,14,4006,0,0,0,0,0,0,4006,3815,0,0,0,0,0,0,3815,7821
10,Umbria,15,4052,0,0,0,0,0,0,4052,3686,0,0,0,0,0,0,3686,7738
10,Umbria,16,3946,0,0,0,0,0,0,3946,3790,0,0,0,0,0,0,3790,7736
10,Umbria,17,3951,0,0,0,0,0,0,3951,3704,1,0,0,0,0,0,3705,7656
10,Umbria,18,3994,0,0,0,0,0,0,3994,3853,4,0,0,0,0,0,3857,7851
10,Umbria,19,4199,1,0,0,0,0,0,4200,3582,23,0,0,0,0,0,3605,7805
10,Umbria,20,4214,4,0,0,0,1,0,4219,3626,49,0,0,1,0,0,3676,7895
10,Umbria,21,4132,6,0,0,0,0,0,4138,3647,70,0,0,0,0,0,3717,7855
10,Umbria,22,4148,20,1,0,0,0,0,4169,3598,144,0,0,0,0,0,3742,7911
10,Umbria,23,4079,55,0,0,1,0,0,4135,3606,193,1,0,0,0,0,3800,7935
10,Umbria,24,4026,59,0,0,0,0,0,4085,3562,284,0,0,0,0,0,3846,7931
10,Umbria,25,4107,125,2,0,0,0,0,4234,3559,404,4,0,1,0,0,3968,8202
10,Umbria,26,4250,194,0,0,1,0,0,4445,3559,615,6,1,2,0,0,4183,8628
10,Umbria,27,4117,258,5,0,0,0,0,4380,3326,790,13,2,0,0,0,4131,8511
10,Umbria,28,4001,440,10,0,1,0,0,4452,3293,973,23,0,0,0,0,4289,8741
10,Umbria,29,3954,610,5,1,2,1,0,4573,3164,1241,18,2,1,0,0,4426,8999
10,Umbria,30,3850,840,9,0,3,0,0,4702,3089,1589,28,3,2,0,0,4711,9413
10,Umbria,31,3502,1054,23,1,2,0,0,4582,2672,1806,42,9,1,0,0,4530,9112
10,Umbria,32,3370,1222,17,1,3,0,0,4613,2566,2012,63,8,1,0,0,4650,9263
10,Umbria,33,3238,1401,31,0,4,0,0,4674,2492,2312,69,8,4,0,0,4885,9559
10,Umbria,34,3012,1710,35,1,3,0,0,4761,2320,2533,81,10,2,0,0,4946,9707
10,Umbria,35,3107,2040,29,4,2,0,0,5182,2238,2888,111,10,6,0,0,5253,10435
10,Umbria,36,2839,2265,55,2,4,0,0,5165,2147,2865,124,11,1,0,0,5148,10313
10,Umbria,37,2722,2489,73,2,1,0,0,5287,2029,3201,141,19,5,0,0,5395,10682
10,Umbria,38,2531,2721,84,2,2,0,0,5340,1878,3312,175,21,2,0,0,5388,10728
10,Umbria,39,2571,2879,102,1,1,0,0,5554,1758,3605,192,29,0,0,0,5584,11138
10,Umbria,40,2484,3097,119,6,4,0,0,5710,1894,3864,211,32,1,0,0,6002,11712
10,Umbria,41,2434,3442,146,7,4,0,0,6033,1716,4107,276,47,3,0,0,6149,12182
10,Umbria,42,2454,3593,174,7,4,0,0,6232,1680,4348,292,47,3,0,0,6370,12602
10,Umbria,43,2354,3872,193,8,2,0,0,6429,1711,4644,333,61,4,0,0,6753,13182
10,Umbria,44,2204,4265,214,12,5,0,0,6700,1635,5010,366,77,1,0,0,7089,13789
10,Umbria,45,2164,4352,195,15,7,0,0,6733,1480,4968,415,83,0,0,0,6946,13679
10,Umbria,46,1931,4334,285,14,4,0,0,6568,1453,4992,439,89,3,0,0,6976,13544
10,Umbria,47,1862,4544,294,16,6,0,0,6722,1354,5143,449,101,2,0,0,7049,13771
10,Umbria,48,1688,4658,322,30,5,0,0,6703,1225,5062,450,110,1,0,0,6848,13551
10,Umbria,49,1600,4836,313,31,1,0,0,6781,1213,5379,526,116,0,0,0,7234,14015
10,Umbria,50,1492,4860,335,28,3,0,0,6718,1138,5399,528,190,0,0,1,7256,13974
10,Umbria,51,1354,4896,356,30,3,0,0,6639,1102,5456,500,156,1,0,0,7215,13854
10,Umbria,52,1388,4916,361,49,9,0,0,6723,977,5403,523,184,2,0,0,7089,13812
10,Umbria,53,1287,5243,365,57,4,0,0,6956,990,5581,536,242,1,0,0,7350,14306
10,Umbria,54,1141,5388,411,54,2,0,0,6996,874,5663,569,279,2,0,0,7387,14383
10,Umbria,55,1005,4948,359,69,6,0,0,6387,817,5433,505,257,0,0,0,7012,13399
