data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en
2020-06-22T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,49,3,52,342,394,-9,1,2428,460,3282,98872,66466,,
2020-06-22T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,1,0,1,7,8,0,0,366,27,401,37370,36590,,
2020-06-22T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,4,1,5,84,89,14,11,2252,292,2633,80085,38636,,
2020-06-22T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,15,0,15,18,33,-3,1,1044,97,1174,88372,86321,,
2020-06-22T17:00:00,ITA,15,Campania,40.83956555,14.25084984,40,0,40,93,133,7,7,4060,431,4624,266472,127669,,
2020-06-22T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.3417208,129,12,141,1013,1154,-18,22,22854,4235,28243,455992,271706,,
2020-06-22T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,15,0,15,57,72,-6,0,2889,344,3305,175706,101622,,
2020-06-22T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,201,23,224,721,945,-46,8,6250,830,8025,319581,260369,,
2020-06-22T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,58,1,59,191,250,2,8,8133,1552,9935,137579,73979,,
2020-06-22T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,1047,51,1098,12540,13638,-205,143,62900,16573,93111,964735,575981,,
2020-06-22T17:00:00,ITA,11,Marche,43.61675973,13.5188753,13,0,13,492,505,-22,3,5275,994,6774,129281,78060,dc-IT-0064,dc-EN-0064
2020-06-22T17:00:00,ITA,14,Molise,41.55774754,14.65916051,3,0,3,40,43,3,3,378,23,444,20752,19740,,
2020-06-22T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,346,19,365,1605,1970,-43,7,25223,4055,31248,391668,246563,,
2020-06-22T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,33,0,33,185,218,-4,0,3769,540,4527,162940,107702,,
2020-06-22T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,9,0,9,19,28,0,0,1209,132,1369,76379,64582,,
2020-06-22T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,20,6,26,115,141,0,0,2651,280,3072,192138,159796,,
2020-06-22T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,18,9,27,333,360,-5,1,8752,1099,10211,313455,218271,,
2020-06-22T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,0,0,0,53,53,0,1,3945,466,4464,112483,58794,,
2020-06-22T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,4,1,5,8,13,-2,0,1347,78,1438,88714,61375,,
2020-06-22T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,4,0,4,1,5,0,0,1042,146,1193,18239,13294,,
2020-06-22T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,29,1,30,555,585,2,2,16659,2003,19247,882529,390386,,
