data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en
2020-09-06T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,32,2,34,475,509,26,26,2910,472,3891,165666,107501,,
2020-09-06T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,4,1,5,118,123,8,9,413,28,564,59798,58988,,
2020-09-06T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,25,0,25,324,349,24,27,1176,98,1623,165950,163844,,
2020-09-06T17:00:00,ITA,15,Campania,40.83956555,14.25084984,221,7,228,2714,2942,98,100,4478,448,7868,454878,268075,,
2020-09-06T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,124,14,138,3232,3370,119,124,24794,4464,32628,962743,563905,,
2020-09-06T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,15,4,19,440,459,14,20,3115,349,3923,342676,158395,,
2020-09-06T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,355,10,365,3548,3913,106,122,7257,881,12051,650695,536609,,
2020-09-06T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,62,9,71,697,768,61,111,8949,1575,11292,250867,135222,,
2020-09-06T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,248,25,273,7758,8031,109,198,76794,16880,101705,1707042,1053199,,
2020-09-06T17:00:00,ITA,11,Marche,43.61675973,13.5188753,14,1,15,370,385,16,20,5990,988,7363,214110,127083,,
2020-09-06T17:00:00,ITA,14,Molise,41.55774754,14.65916051,3,0,3,74,77,2,2,436,23,536,35199,33934,,
2020-09-06T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,8,2,10,208,218,0,7,2493,292,3003,143681,75898,,
2020-09-06T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,5,0,5,293,298,22,33,4629,405,5332,195479,86002,,
2020-09-06T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,111,8,119,1608,1727,42,56,27379,4150,33256,612212,376721,,
2020-09-06T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,155,7,162,1005,1167,45,60,4126,563,5856,326680,231577,,
2020-09-06T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,45,8,53,1032,1085,15,19,1284,136,2505,146863,124985,,
2020-09-06T17:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,86,13,99,1235,1334,-9,37,3093,289,4716,372801,282977,,
2020-09-06T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,77,8,85,1909,1994,105,122,9277,1143,12414,583923,390411,,
2020-09-06T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,13,2,15,341,356,19,25,1478,81,1915,165458,101440,,
2020-09-06T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,1,0,1,33,34,0,0,1069,146,1249,25578,18011,,
2020-09-06T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,79,12,91,2848,2939,62,179,18875,2130,23944,1636958,643251,,
