data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en
2020-11-15T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,565,59,624,12410,13034,412,470,5469,679,19182,344353,207477,,
2020-11-15T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,155,26,181,3788,3969,136,158,931,79,4979,126798,125928,,
2020-11-15T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,342,41,383,6656,7039,53,344,2880,174,10093,319813,316589,,
2020-11-15T17:00:00,ITA,15,Campania,40.83956555,14.25084984,2224,194,2418,85839,88257,3011,3771,21901,1029,111187,1267192,891617,,
2020-11-15T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,2285,246,2531,50670,53201,2639,2822,30275,5044,88520,1858993,972719,,
2020-11-15T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,401,43,444,9483,9927,398,608,8482,528,18937,620174,253332,,
2020-11-15T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,3159,274,3433,63876,67309,2351,2612,15319,1646,84274,1834504,1490435,,
2020-11-15T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,1393,115,1508,14230,15738,404,822,25530,2109,43377,527347,265754,,
2020-11-15T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,7781,837,8618,153923,162541,6262,8060,138872,19367,320780,3550494,2152870,,
2020-11-15T17:00:00,ITA,11,Marche,43.61675973,13.5188753,483,77,560,13489,14049,630,707,8156,1111,23316,368894,216441,,
2020-11-15T17:00:00,ITA,14,Molise,41.55774754,14.65916051,60,7,67,1945,2012,82,85,916,67,2995,75505,70623,,
2020-11-15T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,479,43,522,9768,10290,231,628,6614,398,17302,275464,137933,,
2020-11-15T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,370,33,403,2559,2962,128,268,9082,524,12568,330149,122282,,
2020-11-15T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,4921,372,5293,65936,71229,2014,3682,49190,5046,125465,1273021,806208,,
2020-11-15T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,1261,180,1441,23261,24702,702,905,8751,985,34438,662417,469846,,
2020-11-15T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,510,60,570,9650,10220,238,370,4641,322,15183,321255,271440,,
2020-11-15T17:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,1476,217,1693,27114,28807,1001,1422,11829,896,41532,816609,565253,,
2020-11-15T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,1734,274,2008,50300,52308,1247,2653,25216,1879,79403,1331924,856660,,
2020-11-15T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,366,71,437,10658,11095,319,657,7528,253,18876,360719,203439,,
2020-11-15T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,148,12,160,2135,2295,-4,143,2703,248,5246,50230,29683,,
2020-11-15T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,1934,241,2175,59331,61506,1801,2792,36525,2845,100876,2562531,989643,,
