data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en
2020-10-13T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,146,15,161,1518,1679,147,146,3153,488,5320,228524,144769,,
2020-10-13T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,34,0,34,463,497,2,8,532,37,1066,83481,82651,,
2020-10-13T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,42,1,43,755,798,25,44,1486,104,2388,226243,224137,,
2020-10-13T17:00:00,ITA,15,Campania,40.83956555,14.25084984,694,62,756,11022,11778,552,635,7564,485,19827,697829,467964,,
2020-10-13T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,323,31,354,6522,6876,203,341,26982,4498,38356,1310995,728221,,
2020-10-13T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,27,10,37,1367,1404,32,38,3850,356,5610,454083,200782,,
2020-10-13T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,896,83,979,9658,10637,515,579,9238,989,20864,1044724,861669,,
2020-10-13T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,272,27,299,2624,2923,182,447,11357,1622,15902,353832,188093,,
2020-10-13T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,546,62,608,13648,14256,877,1080,83550,16994,114800,2350108,1469625,,
2020-10-13T17:00:00,ITA,11,Marche,43.61675973,13.5188753,60,6,66,1329,1395,66,82,6325,992,8712,270757,158948,,
2020-10-13T17:00:00,ITA,14,Molise,41.55774754,14.65916051,10,0,10,200,210,46,49,559,26,795,49398,47568,,
2020-10-13T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,54,3,57,937,994,21,34,2856,293,4143,194574,100855,,
2020-10-13T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,20,0,20,665,685,5,28,5417,411,6513,251213,105581,,
2020-10-13T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,483,30,513,5452,5965,502,585,29394,4183,39542,808603,480303,,
2020-10-13T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,310,23,333,3665,3998,85,180,5235,616,9849,461971,327324,,
2020-10-13T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,164,26,190,2710,2900,41,157,2227,168,5295,216503,182625,,
2020-10-13T17:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,426,44,470,4407,4877,195,334,4708,341,9926,561166,402751,,
2020-10-13T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,218,44,262,6655,6917,413,480,11008,1181,19106,856638,576101,,
2020-10-13T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,68,11,79,1412,1491,121,136,2027,90,3608,236287,140125,,
2020-10-13T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,11,3,14,244,258,33,33,1125,146,1529,31763,21861,,
2020-10-13T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,272,33,305,6350,6655,366,485,23435,2226,32316,2074007,810366,,
