data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,note_it,note_en
2020-09-22T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,54,5,59,683,742,3,18,3010,475,4227,187204,120852,,
2020-09-22T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,10,1,11,166,177,14,14,447,28,652,67504,66694,,
2020-09-22T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,29,4,33,457,490,22,24,1280,98,1868,188138,186032,,
2020-09-22T17:00:00,ITA,15,Campania,40.83956555,14.25084984,360,23,383,4572,4955,58,156,5247,457,10659,548330,345740,,
2020-09-22T17:00:00,ITA,08,Emilia-Romagna,44.49436681,11.341720800000001,185,22,207,4426,4633,15,56,25400,4478,34511,1100226,631253,,
2020-09-22T17:00:00,ITA,06,Friuli Venezia Giulia,45.6494354,13.76813649,21,5,26,677,703,7,14,3351,350,4404,384040,173067,,
2020-09-22T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,482,31,513,5517,6030,190,238,7851,899,14780,801697,669956,,
2020-09-22T17:00:00,ITA,07,Liguria,44.41149315,8.9326992,148,17,165,1365,1530,5,105,9539,1592,12661,288170,154818,,
2020-09-22T17:00:00,ITA,03,Lombardia,45.46679409,9.190347404,294,34,328,8699,9027,-49,182,79078,16925,105030,1968107,1225067,,
2020-09-22T17:00:00,ITA,11,Marche,43.61675973,13.5188753,24,3,27,633,660,10,18,6120,989,7769,235017,138616,,
2020-09-22T17:00:00,ITA,14,Molise,41.55774754,14.65916051,5,1,6,125,131,-1,2,466,23,620,40000,38579,,
2020-09-22T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,20,1,21,427,448,8,8,2589,292,3329,163340,86311,,
2020-09-22T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,13,0,13,535,548,-10,25,4808,405,5761,216684,93785,,
2020-09-22T17:00:00,ITA,01,Piemonte,45.0732745,7.680687483,164,7,171,2222,2393,35,84,27931,4156,34480,676662,411192,,
2020-09-22T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,204,10,214,1976,2190,1,67,4371,581,7142,381476,271426,,
2020-09-22T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,96,21,117,1606,1723,9,53,1490,143,3356,173660,147183,,
2020-09-22T17:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,224,15,239,2151,2390,42,108,3455,300,6145,442373,327407,,
2020-09-22T17:00:00,ITA,09,Toscana,43.76923077,11.25588885,98,21,119,2939,3058,40,74,9760,1152,13970,686702,462715,,
2020-09-22T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,28,4,32,437,469,1,26,1694,84,2247,190643,114754,,
2020-09-22T17:00:00,ITA,02,Valle d'Aosta,45.73750286,7.320149366,4,0,4,45,49,1,1,1087,146,1282,27872,19320,,
2020-09-22T17:00:00,ITA,05,Veneto,45.43490485,12.33845213,141,14,155,2988,3143,9,119,20696,2165,26004,1808134,707232,,
